factor,file,time_coverage,time_params
stock_bond_momentum_gap_v1,stock_bond_momentum_gap_v1.py,???(??????T),{}
trade_intensity_v1,trade_intensity_v1.py,???(??????T),{}
turnover_rate,turnover_rate.py,T-30min ~ T (???),"{""window_minutes"": 30}"
volatility,volatility.py,T-30min ~ T (???),"{""window_minutes"": 30}"
volatility_scaled_return_v1,volatility_scaled_return_v1.py,???(??????T),{}
volen,volen.py,???(??????T),{}
volume_imbalance,volume_imbalance.py,T-30min ~ T (???),"{""window_minutes"": 30}"
volume_price_trend_v1,volume_price_trend_v1.py,???(??????T),{}
volume_sum,volume_sum.py,T-30min ~ T (???),"{""window_minutes"": 30}"
vwap,vwap.py,T-30min ~ T (???),"{""window_minutes"": 30}"
vwap_gap,vwap_gap.py,T-30min ~ T (???),"{""window_minutes"": 30}"
